"TODO clean up and move to .po";""
"Chart Settings";"Instelllingen voor diagram"
"Options to show in the chart";"Toon deze opties"
"Tab Settings";"Instellingen voor tabblad"
"How to determine relationships to the default individual";"Relaties voor startpersoon"
"How to determine relationships between parents";"Relaties voor ouders"
"How to determine relationships to spouses";"Relaties voor echtgenoten"
"Do not show any relationship";"Toon geen enkele relatie"
"Show common ancestors";"Toon gemeenschappelijk voorouders"
"The preferences for the custom module “%s” have been updated.";"Uw voorkeuren zijn opgeslagen"
"(Number of relationships: %s)";"(Aantal relaties: %s)"
"If this is unexpected, and there are recent changes, you may have to follow this link: ";"Verwacht u dit niet, en zijn er recente wijzigingen, volg dan deze link:" 
"Synchronize trees to obtain dated relationship links";"Update de 'gedateerde' relaties"
"Relationship to default individual";"Relatie met standaard persoon"
"No relationship found";"Geen verwantschap gevonden"
